Utility to process github logs
Going to process projects/top_C/textmate/all_log_nomerge_function.txt 
---------- textmate ------------

COMMIT: 137e6343ba166a30c366a0f8b71db8f56b321ce8
COMMIT: 62720f26f00268660a8714654650d3a4f98c50ac
COMMIT: c7c789a57becd124af3f373e4490f0776a02b17c
COMMIT: be0804353c237116941a025465892878f5537629
COMMIT: b0a48b36f65b16a93bdb7e3d86a8b61f8d680c5d
COMMIT: f16e83fb4f925c31ae9e619b0181a5b014b5693e
COMMIT: 2c58bb80f956a95a2b102b28283ffc3d2331ff51
COMMIT: 8462eb6512a99d2780e2d611eeb2a51278d19e4b
COMMIT: 609558edac768ca7fe17076fd80c225f18ead48c
COMMIT: 74c76fb2aa057e6287be1d735709d1a234c79f70
COMMIT: 487f0f22d9130eca246f999ec709efc13f26d68c
COMMIT: d59029b70c293bf12b55e0996541b47cc60d5136
COMMIT: 986b9f54af09581e8abfbea48b68d3b29c1b1c3f
COMMIT: 930ab2c496bd9719085e1e0056239da77e887244
COMMIT: 72fbba63391891ccdf48764e65571dcdedc9f428
COMMIT: d3b0ef36779f61a766f30598f48f3cfb76835896
COMMIT: 2cb480364fbf9f9985c133a7591e932e4c535121
COMMIT: 862a543074f3dfa4d9a54c5e246e12e71859a548
COMMIT: a22801f6159ebd859a02862fcf2a2c5456b97e4d
COMMIT: 0d917f8f94f033cada0788c0c73e55de6d69112c
COMMIT: 405e627c1894ba187b6421614aa8d952f29fed6f
COMMIT: 9c9de994183eddf6c129761f317930674f1f462a
COMMIT: 053b08456fff4b945cbbce67404c71e7c63c15dd
COMMIT: 07b7200a73e0fc38b8349e21835cdcc71a71688b
COMMIT: 3a86535022cb5032f5e3e9f059ad2a1f2a8bbaf4
COMMIT: 578a679acea9bad0bc6cbe8288b506fa815c108f
COMMIT: 207c642614df13f8e4c3589322118c6f64ca4b94
COMMIT: 65e72d9ed210c5ba91c4d3b39392059047c5f516
COMMIT: d9cc82ced83dfade54d22bc6c3b2699b30b21d76
COMMIT: 02d7e287d09b3dfd72e6688e0e1dd8e309d1dc3f
COMMIT: 60465ce465785d3974f05555152a78a7daeab4c3
COMMIT: 8976978ef28f3855ad94800bef3d28a65c1790b1
COMMIT: c672759acbeec241259df944ce6023236e2b5d1c
COMMIT: 63207a960c313f5e6e3f356d91005b92e1be1620
COMMIT: 8de8291afe2000d82dced9bec65211e7823227ed
COMMIT: 4f807fd1091be12ab185733eaaf7eeaac10c1e27
COMMIT: ece4ca014a7c5c848dd866ba67f7c164d05f35ae
COMMIT: 524d281046c3d40bbcd3324a66b5960281c9e553
COMMIT: b20629d9a19ebe40c284543f298a13ad2dd44684
COMMIT: bb6206608bfed91052a7e7aebd966d62a4ae4b62
COMMIT: a570395480ca65465a99ba59e0c1288d921d9b6f
COMMIT: 2ac17cbf838d9114a21fdf8fcd266e52bb38196d
COMMIT: c341765fe9f2b4460db7077980619af8afde9f8b
COMMIT: 6a8ce140e255950f00c0c7fa7c426f8e6f47a002
COMMIT: c91837ce1b61893f44b04e176bd2cb8f5686df9a
COMMIT: fe71fa1aaf9227e0e79849cbf36fae37b18f374b
COMMIT: 7724abb022eea16d6d7384c3679a1707cc168c9e
COMMIT: 58f98cad23b4bda05d19a409e8516848c9a0ff13
COMMIT: 241f1e7ba7e72789d63a2f9f6aff3231dcca02e7
COMMIT: 10be561065ebe33e1109eb60398b2ed310428e79
COMMIT: fc09b3c0c64b02c1690f8da2d419f9ce0b1bc7ed
COMMIT: f353831e85c75a06092b7f855529902102a1de46
COMMIT: 012a70042929c669ca539fa9ae3f1acff47055c8
COMMIT: 591876f3f21fd7936c88ba08edaab23f31e41399
COMMIT: 23a66a40b9a2de3ca3931139c8a0fa3940b50ce1
COMMIT: 8322954ec9f645f8d649b63d21f11206eec67686
COMMIT: 3feec01e6625095234bcae2c7ec563504efec525
COMMIT: c0c7f04a1067c5e0bc1642f1b5f0868a9d2d5c40
COMMIT: 44b8d5986f54578f53d1337071d59a77d8eec07d
COMMIT: 692850506235b71ddf93a4bb51fa2f346d981ae2
COMMIT: 6f68d2afb1339db05b2cbfef681cb27df24761ee
COMMIT: 9a326d1f5f72941e8c50653fd3db535e8ee2ce61
COMMIT: 29019d536b0b0111df20f615dfb4d2bc0535ad21
COMMIT: 243d1c880892e5ab3e5df11e6d5a05f2a24876c6
COMMIT: 93624253ce65d85f680b840202d0eb8a5549039b
COMMIT: b137014777e812f9a8afb9f05e11ff269fefd4de
COMMIT: 639f1d282f381ea227098566cdea96c98fd3f653
COMMIT: 7cb2330aaef49e3a83ed8147cf2a3e74e91a8e1d
COMMIT: 6748c281098d87ac3c441efe0de7a9d1d38facdc
COMMIT: 6e5adcdc31b4310bced21d1c18620885862e5f59
COMMIT: a90acdcbe6da6d6c0d8c5a723fd562ea5ab76b5a
COMMIT: b9ed2ac8ee442341b433de6d9adaeabcfc9127cd
COMMIT: 6262e1715963ee70b9aaef4fd57b6a2af457a6a5
COMMIT: d12e0976d6a8e0ec46614abf06b2312b40836f50
COMMIT: 72837ca7ac4a76c39d3c009cb19f1d69e6086fc2
COMMIT: eb20fd8746280a22d614c9a523a56a833b3146ba
COMMIT: 923ee5953436652202c0f9416e18a24659bbd460
COMMIT: 5eb7ede8295c1033b922f951756c8901c01fb952
COMMIT: 13a3ac49ba9cd0f378875e06616aad9622110cac
COMMIT: baff543c47c7635644fa4accaf432a2240892750
COMMIT: b7088bac3df68705435146a62d697aaae9005bac
COMMIT: 7ebd14876c3c5b02e7ec505cccddb2f4c04ea4bb
COMMIT: 1f06ac9ff43197d6494d315a43c08767af7e647f
COMMIT: cf3b8306107a882142ffb2faa2c04eb9e0561f61
COMMIT: ec81a045af51d47c397ec8e12118c46d2952d808
COMMIT: ed29cf9374a070677146331d9102a3390f5169a7
COMMIT: 651138d66072191067741e0f371e0b66fbab89a5
COMMIT: b265927501abeebd33b9da431e4899eedfbffb27
COMMIT: 1d3ccb157ae5bef5f762189a54e6e121e9d26133
COMMIT: de6724aad50dbf9ae1ff0a9aaebe5b633964d288
COMMIT: d9dfeff56b3548a7db90e03459296e7a06f2a500
COMMIT: b6c77d19601048a1bb89ee245853d6c29bd0f52c
COMMIT: 356999392d4e0ea0e5794b31bff376cf669ad144
COMMIT: 8a87ee16e2759d43939987ed07fb5b6c3e23e2ed
COMMIT: 3dcd9ba89b26fad75f95ff4307adb3b7723fe3db
COMMIT: ab83cc6e50caf7de731f02ff7d39d085a050c412
COMMIT: 279fdbbd3fd6de5db0949421d953750d2587fb30
COMMIT: 2474af5d16027673bb951245634e8ed2380b7d55
COMMIT: 9a3ab4c46f2be4478da17e67525ccf1a77a0ba07
COMMIT: e78a9ced216ea865b5bcaa8fe94824ab659500c7
COMMIT: 9d39e80044a32df9b7a209dba93630d860bf75c2
COMMIT: a925801cb6bdf84cf08f64a55e814b6cb15bd69b
COMMIT: 89400822d3014f63b458a7249bdff2451e93489f
COMMIT: 57da86ba5c418f2bc9a7d02b95a70a91b944e017
COMMIT: 06484ae92a674a9992d2dca853f117adf83b65b0
COMMIT: de3f867c9e3998d2e3268b529c9048eab75d3d4c
COMMIT: b4956ac4fa2dbfd042054f3c40751f84c54b5cc4
COMMIT: 6bdad1733ed396ea0945ec63cf9d4b9967e1615f
COMMIT: 06b6802d055289a34d1536ad9493dfb9fadbd80a
COMMIT: c7ef9d2d78cf505a60ffdea0d1e270f59260b146
COMMIT: 7e63510cfd01231e799c110de2f261a0bc80b7e8
COMMIT: e91bf08e6901ee1230c32e9c879f0db4874a7b49
COMMIT: 49b82c9ecb8a50437e8fb77d04b1e941ca6c34b0
COMMIT: a22053e7e7c33f4e7c56e8e0afaa04e9920463a5
COMMIT: 98b08464c7131f399ad56a7d69bcac18b2bedc0a
COMMIT: a50846ba6c0c2365f23dd34974cc27cba2875630
COMMIT: 9b3dd8c0f43eb7bcbe47355bd4ca27e20e6c62b2
COMMIT: 2aae17aeb3e155fc4c45507d95cda12029d3168e
COMMIT: 854fa91f10bf825a9892352d05a5ffc5ed63ae73
COMMIT: 7d448c993f7e91433759d30925a7af86905c7f36
COMMIT: d12a091f5ee1ecce408f00e42a182ae8e92ba043
COMMIT: db1fa96114d1a066e59b4df0af256fe7d618a672
COMMIT: 4afbf0c0e3a3d69d82b7174aacd913fd8da9a647
COMMIT: 9c5557b4429d5f87ee36e53c008154f0f422f43c
COMMIT: b624726f9fd247a804cf2737704346522f90f7aa
COMMIT: 14211e5f2955f53dfe99e079d14c60049122e3c1
COMMIT: 5a45023f9e184b80326bc5c3927b48198a9b98bb
COMMIT: 7262dd9d270e41728630695cf462259d484f8393
COMMIT: ff99f06647d665bb5387c865294eb82f262b7442
COMMIT: cebb90b6c8e00b37197fcaf766329e97dfbda3be
COMMIT: bb41b55d16d085a0c43d7da929f4390a1058f7a8
COMMIT: 5d72c8a2c5b3e1bc7fdd96868ef0c571db5dd78a
COMMIT: 93e14c6a157d8110d97c854ff5319f98e1fc55e3
COMMIT: aa27ccced5bb2778f75eb0a0c910fb0082d5737c
COMMIT: 846c220b6b94e3e3883f6771d46dbd2e27cd563e
COMMIT: 40ab59447cc12ae4db53a511f1b19379338d7e45
COMMIT: e6185fd5a1633859a83a785d247d0c62c4ffb138
COMMIT: 1cabec256c5c62f6ad1168078eac8d1004e33d3f
COMMIT: 94165739fbb61c2553092a3834a37c155cc9f18a
COMMIT: b0d57705cfe5c3ed6ce59ee2004f69decdcbcb55
COMMIT: b1b0ffda583174f51e3174cac850338df2ed5e86
COMMIT: 6646a14da13fe675a64b4941d030bba838a7b548
COMMIT: 4b521541d79c840077521c4d49cc29875c290b59
COMMIT: 63f8400cc49b0d53b3ca1aa925c7f1a2f8886c26
COMMIT: 50d3a584c9f71fe35fac62cdd19b306153e38f6d
COMMIT: 4a2a3997ccd9d5a4b1c20d36faa805958316f2b0
COMMIT: a06554b638ce62bee98341529dccbdc40e4f929a
COMMIT: ffe3a464f2ad02e01e7d4d8fe80a762fecfaed18
COMMIT: baff330459b6338ebd46ed67cd12bf60de8eb5b2
COMMIT: 2721b2242607c8fca90cec23b4cefbd1e85ffbc3
COMMIT: 57e43f27e3d5f134744bba2a6e908d7dab48639d
COMMIT: f4747e4fe48ed0ece8b5c291a8d4f53cc9e858b3
COMMIT: a3d085a44faab4aa7438f9ea6caa0eb095c41cd5
COMMIT: c7346421ce0af4f7c7d82f4f03d1247705f3d785
COMMIT: ecc2f3ad90befad18f9fab401b352ea00645a25d
COMMIT: 2e4603bc8c0c55e82022d5d4344b65c2a8fabcde
COMMIT: 4669dbaa2865a52f5bcd93fb8f961aa4d94587fd
COMMIT: 60f125eedc76a0072b1067a6240261a2e23b96ae
COMMIT: df3810179838b7a6a3a7900ce42d96c39310574c
COMMIT: d39ae2a7df5f9f357a14f323c58cbd8a1b31cf05
COMMIT: f88d6f54250c2aaa17ec0c1e2a5a22b47ae995dc
COMMIT: 227b1381127e2fa096c17a84661300ccc0207bf3
COMMIT: 84e00599af5823cc5bb5945f68d455762366b4fc
COMMIT: 6810c2c883ece286686d0dabe27afb6a44a3bdc8
COMMIT: 357c66b4d1cfdb96d0ce2179993260ea2bf152c6
COMMIT: 5bb42e8bc6bc645ddd861a70f37fc585d4a191a5
COMMIT: afbc364fc3e0c8ac07b09ea7167b3416d3046215
COMMIT: 6e864a917d77eaf060ee6ed96891fa1a5048c4f4
COMMIT: 0d496ea58ccb1355235a2670c69f0a598cb5808a
COMMIT: 833d7247794d96722a836b87982a0f213b267d69
COMMIT: bb3b997a560fe10e6f6a650fa6773ee797abe29f
COMMIT: 082c6654571755cb8b2920cabcc64fc9ad550c06
COMMIT: 98dfefb5e0b5ed32886ec65b3e68081612c3f91d
COMMIT: e0c6e14de09ccc68b96890212ea806de43b8c3f1
COMMIT: 8d9a2f54262911be16e0491611a94958982e99d1
COMMIT: 421f087b1866187b7ed4cca55dfbccd229bcc9fb
COMMIT: 795909748ba73b30c655f6f11ffb754f84bb9a29
COMMIT: 135667b655bd3397157ef929a966281244fc2218
COMMIT: 86dd3350242386b2f188ae1852cc7acfe5866c3c
COMMIT: cc7f149f52bec99fcdde3797c08bb765638f50cc
COMMIT: e08a40a507c9d86a1ac4ee342bfdb873152e66fc
COMMIT: 922f9c13afabf23a862fb75d5a99dbb72695016c
COMMIT: f94b70cd0d057180afeb413cdddaab496882a052
COMMIT: d821793182f8d817533b54ff79d9b81a84ab18f5
COMMIT: c57dd931e12b709ce858aacca97e00b669c87e71
COMMIT: 420f70cf9339176cf460bc832e09125c3ee7c533
COMMIT: 5715ebf75485d83b7b6b67f7ea4bcccfb6f243d9
COMMIT: 5af1ec23ca8d34518d90895e82d231b1ff1788a6
COMMIT: cc64b1e24f5ae68403c40252b1a82f838f80f1c0
COMMIT: 900ee1f523329f0e1a3ccbf741e11ee59343cc17
COMMIT: 53943e44097be27caecb243d0fba0daa6e755bf8
COMMIT: 72bb6e6eb6202a679329e954ce46f943739d37b0
COMMIT: 2427464f60002096180177e83105ac10cc156369
COMMIT: e78764a89ebc8fcb7a546e6ff3090f7d0c530294
COMMIT: 0ae6782d8001b8d314749160d0f0cbb9791473af
COMMIT: c1552d56bc5c7a4f737b5632f293c28a4bfe5051
COMMIT: 7675aeb4ece7e1bd5a839b2a94a28b9d9c11f425
COMMIT: 6be2935518a2fd6c353886c4eedbefc76a92856b
COMMIT: 3a0adfb6bfa3984f5ac5afdeddc591cec2d4af00
COMMIT: 2dbd0d601f0319cd20f5b3cdd93009c1c7962300
COMMIT: 8782e2aa8113932ccc7c5db375e1a20ef69b7853
COMMIT: 539dee14868c881d0f484c06cff568f8ef1fc298
COMMIT: 2b74e76a2f9d9732571fa7bc252ddb3162cb10b5
COMMIT: d7dba7cd7a2736da5c98fb12ce3fd5bb3c6491d1
COMMIT: 42888110fbc664bce8954ad2ebf3160e58db02bf
COMMIT: e81286b0cd1aa3746d963a24ae32e004521bfb9d
COMMIT: 0286a10cbc2ec1171396f060608c169c3acbd3aa
COMMIT: af3f4aaa333d1f1a2cff5dfa0b4f3fad6b448977
COMMIT: b8804d1164f31a923d70a298d6788724d1b6d1a3
COMMIT: 3ed4722a80715260ef539b2ace26dca1d6554834
COMMIT: 7fb02603b5c192bb85ff15656440f2c2bed68712
COMMIT: 0b419474120345dd71095d05ea412ac33c7b85c6
COMMIT: 9a80fd422654e99a25fc2718964f79a015492c65
COMMIT: 7ea524b936a2c9403e37d3fb8b4ddb19837794a3
COMMIT: ffbcd3c7f916cba2ff041579003cbd3af349d1be
COMMIT: b8c1085b9e20fe8019e74bd03ca247c1a2ce20ed
COMMIT: 603f06d2dba7539cbff2fb1895e84cea32e31708
COMMIT: 1c7a749308b190d98f7fdc1e47ce90e326b3b004
COMMIT: c272afaff2d18bdae60cb93ed8b8ca45a15b1104
COMMIT: 6359a2ef7cf499b3c1a8fbec0bec67692c75dddd
COMMIT: 9e4a5ccd82bdbcbbfe33402e894cbbb6f2977d87
COMMIT: a2fad22bf74409253980173f184083fddd175799
COMMIT: 91b216bf2481975bc79f50931e13c0b79e848813
COMMIT: d178527924cde055b18b131e6542aacefccd16ad
COMMIT: 7d1f7941b97be50c4ed7a07d62c45034fa8b1f42
COMMIT: 78e76f55d803c4e8a8457053b6fd341167a7a3f9
COMMIT: 9524439aef32bfc02470d477473540b949866bda
COMMIT: 45481d2e4d42ff46d5a158ae418af16b6dcfc27e
COMMIT: 01722b9a6e87733e88b63e270da45f882d0a14ba
COMMIT: 0b2932b3de6cfaefa5dd281c093029e938a703e8
COMMIT: 7bedb531ef5922b556d33f3be1bc7f221ef5568c
COMMIT: f515bc70f8317fd48d64ac454c951d34a2328046
COMMIT: 9790644fbd6230cacdb319a5cecb09f30f6ee6ee
COMMIT: 1f0e3db472d557f58b8854041463947733259263
COMMIT: 39b94e6ac3a08bf61d94053c16e265ce77d3a542
COMMIT: dde03783b2e7390b40a42caf2b3622b355e51d5d
COMMIT: ec8208bbf51a17b57eda22993b88153a935304f6
COMMIT: 5b47dca1e67ef78601739bdd6cef5bcb24bc2869
COMMIT: 8f18aefe66d86fda2d1c517901a5ad387a2585df
COMMIT: d31f2dc100c9db0cd61d23fc87884885f2b70a72
COMMIT: eb6d755ca5c5282328b20b56b25cc3bc8a990bc3
COMMIT: 86a55389929c5e2da92075c894e648411c68ee51
COMMIT: 09ea4b3e46bab89cdb5069979aa170315d5a9f6f
COMMIT: d1bce2ac4f5ac39c7c0c6868195fc48e17479353
COMMIT: 2bfd8a811804330656dca9052a81c55336fb6e68
COMMIT: 375893fc7f6911107821185d701075d78043d735
COMMIT: f445f192877f0917bae04029c946033422f893c5
COMMIT: 1452148a652c259717d1df9abec747aebe7fe0ea
COMMIT: d549bb7a84cc918bcfda914e4cdde485975477b2
COMMIT: e379021492743166e9dd676b4f50edcdc9516076
COMMIT: 1e419e6d3111a41b199f3a1316475f548b274ef3
COMMIT: bd74a16d96f4345f4c3d4756ca731434c0fa37db
COMMIT: ff94480298e5b344dfe655877bf5dc4cd56b904d
COMMIT: c7bfb36d259b44e8c1a0108b42ab5feb124212d8
COMMIT: 4307d9eb91a23cdc258e3ff83120037a5c36791b
COMMIT: 6d1da8ce97fbb66bd9f4f416a7243a7d4359d728
COMMIT: aaabfd2e2647888a1e9e7f23c9328e501b20852b
COMMIT: fb80ffd272312da709d609f99d237d63f20a207a
COMMIT: 10d94644f7ecb4af4f712b3186166b2aaf3e7403
COMMIT: e974582baa8682e4abeb1b03dcffb7413639c73a
COMMIT: 184782a6eee4c7d687f232d6008b80c59e6746a8
COMMIT: 3642ee2750389fca16a1af824364586561a261dc
