Utility to process github logs
Going to process projects/top_C++/rethinkdb/all_log_nomerge_function.txt 
---------- rethinkdb ------------

COMMIT: 90da5bf7256d4bbb8153e09afd950ee4e7ad5046
COMMIT: a7f03bd928c03a6e865db420cc1830bcb1731121
COMMIT: 92684b022c949f0ccf2106faff96ebeb15d3a704
COMMIT: a5d96e00857360c25ab4cb441f1b6e68e0b4da2b
COMMIT: 47b6aac3e97f2225eb30fd7ca964ae4dd5af2739
COMMIT: 8730798d01cb1fca3b6e29d7a217437fdef3af53
COMMIT: c138bdc90b418aae6fd80d9ea954179e8032ea25
COMMIT: ea7a51096cc371bf1aafc8459f18b9e25a05c344
COMMIT: f56644a23ff81b27e25619b412ad1a3b0e4eed83
COMMIT: 1bf68542274e5b0340b3be6e8973c9387858919e
COMMIT: 2e097c3145f327b861c5019d186e8d2668194c11
COMMIT: 769948326c8cd3ee4a4571a148b20f4e71c0c7f7
COMMIT: 448cde0f906dab7fcf6348c18902417c0ff73a12
COMMIT: ca9acbbb95e014eef0347c2d34627686a3260e3e
COMMIT: 6c807c8f0a47bed126bca28e5482b70e6afa664e
COMMIT: c38b5a8a42e7c5200f96c235d232b94592d63680
COMMIT: 36caf066ecdb82c86c27103c15089a5f5a68c88c
COMMIT: 19f42a4f5089af3271032acec36d6704c241f637
COMMIT: 2bea461c6bc60491ef78570ad2e40e34499e3d7d
COMMIT: a95eac2ddb0089472d0e137b198a329bf0e213a9
COMMIT: c4e45484d9b9c2e830198d936edc7c7a6bb33c99
COMMIT: 5c7dbefe5071b39a331460e80f5c349dac3d5c86
COMMIT: ec94d66ddb4a95e36fa10c74106429ae0570e609
COMMIT: 67a57bb37c738f767bf5de3d00cc6a4e1085ddb2
COMMIT: 06ebb9bd2d15577814e44c33036eeca636850763
COMMIT: 8840e36bdd6ae2a939cb96dcfcf80d8e8a731c09
COMMIT: 75034de9abd646e59093bca3a0cc65b552d6118e
COMMIT: f3e6339ad45a026a47a8e45bc3cd8e87969b3271
COMMIT: 8ca85b6e733267da1bf6b5de21a05abdf60718cc
COMMIT: 2d4f573c993f0b7d45c8d87941f726cc921f5349
COMMIT: 64575fe583cab52ef6fb44cba86afbcc7ecb5693
COMMIT: 8f15f391bbe38833febd897f2f9fb03bc2d776d3
COMMIT: 3245e98bfcfd246b4ef78600fda97a778878a174
COMMIT: e0fcd0ee4388784a3ba67ee9fcddff94dd2bb120
