Utility to process github logs
Going to process projects/top_C/beanstalkd/all_log_nomerge_function.txt 
---------- beanstalkd ------------

COMMIT: db7c863b6c7762ee686adb1814d9ed4bd982bc8d
COMMIT: 7c50a06309f1faceebab73bef61206020a0bc6f9
COMMIT: bdc9de7ba38cc32cc676719706ff69007b80dfcc
COMMIT: 31c980853657c6f99164c70b981fd164d456743b
COMMIT: d155b1c409bdd2e81228cb99e4779b79761b28c8
COMMIT: fa96ec4c0667be59f20f682851adacc95afb9ab6
COMMIT: e75696fa9b365a297d7177c92827207f520bced4
COMMIT: 5cb605b88d53acaf11f8805205bdd51d9c4d7d08
COMMIT: a9419cbac4c4e9e8a32b7d956026a368b4a8967f
COMMIT: e6b73ea05d789645ac11c6a60b2648901becf0b1
COMMIT: 8883298c57c0bcb0f2911a3229403311ff9924e7
COMMIT: 73fb4156b50f74deac9100c942a98ce1957f7fa1
COMMIT: 2fddd116e2dd7b92f588e6426e8d3783d642a939
COMMIT: bdf0fb08d5792cea4857db0d1d20a65b3f4c7445
COMMIT: a27c08ec63a692f7c52bb87f5aa42c0fa1655145
COMMIT: 84aede70b08d4abfd4bec497fc3bcb0f0541c967
COMMIT: cfea66971d904194e14d1e4c0af1cf96429a9a1e
COMMIT: fd122c24455322f16d69bbd8dfd09878636cb4eb
COMMIT: 2ca980963a83f57d62ffaf2d6e4a7c7e45b69f31
COMMIT: 1089f1f5df4100d412f88058b50af1194080507f
COMMIT: 075db8659860829708e7fa58d6ca6ff595319477
COMMIT: e4d7e7b146e72f7faea033d220f78d75edc851f8
COMMIT: c76f9b3500bb52a555eed475af592b72711ce3f9
COMMIT: ed3541b48c84de4bd40e2a9ea02736578b12e889
COMMIT: bc98607a9bd8026020cbcb236bc91a992b85296d
COMMIT: 1ab5fde9220e099ea093def8603ddd69c5baf49b
COMMIT: a451a2714e7ad26e71bf4f0ae50e7c4b65363acc
COMMIT: 938b98b909b7b241eff2d2f2426a462856f03d78
COMMIT: 9662f7dbf85ac37cf9045dbc816b3798130e9eab
COMMIT: 028ef0d312136fbaf18306415971bee7a43f115f
COMMIT: 651697179fabcf5100c1501553459b4bd8dee5a6
COMMIT: 9947f125ea49ef2bff56801dacd4bbc073fe0cd8
COMMIT: c8ff75b5a4aae40f8846898494aa43907a945bd2
COMMIT: 8606341540c5669b0eec79867e3f95b429feff49
COMMIT: ebf84570cc1bc2a2a60539cd98cf4f88cdfebede
COMMIT: 91871cfed0ca6c5650e3b4b5baa57c900552a997
COMMIT: 3c53162e95498c9d73e8a2e77c440eac92684048
COMMIT: 21ca254448dfbb4134e40f1e9ba9614259c86299
COMMIT: 4066a5e44e4c3be89651eb674e7431dc7ea6ae80
COMMIT: 6b83cb6b774cffe2d13bd50fe6a04c4b92f13c56
COMMIT: 976ec8ba8e70e3b5027f441de529f479c11c8507
COMMIT: 4dc15862a73f68a661da32e4b49ae540fcdf98ac
COMMIT: 66222a7a03ddab07539c61f7b3ffbaf3e57245d3
COMMIT: 70b63d5f52010d5b286f146058573849d8b95a81
COMMIT: 349a98c0b651129d19e2376bd60d3adc0e19074f
COMMIT: 2e8e8c6387ecdf5923dfc4d7718d18eba1b0873d
COMMIT: 62328a506b8ed24e52c264f073ecbf4e9254f861
COMMIT: 111ef6d42ad6dc735fc5228aaf3d50df45bed0c3
COMMIT: a4b5484d9999d2697c893c30cde1a7e6bd944501
COMMIT: 4d56a660e33adf3234994e48795a9555521c95f1
COMMIT: 50e0ca22048e70266da01807b8322011038136c7
COMMIT: ae8cdd8318ca5735315e2ec95e2ab5129e3322e0
COMMIT: 3c45084a128cc67b0aa53de845d12a0656f385fc
COMMIT: fec76940b5c2822b81032b911ea2101c49013047
COMMIT: 05e4d2c1934a530a7471bb18caa30873bf805ee4
COMMIT: 88cd86be5aaeffb73d6cffb7457cd382c84cbc9d
COMMIT: 1894d97913279d806e077376a50c13001756442b
COMMIT: 601817e0033253db3fbd089f11eaf4d6913b9a96
COMMIT: 927cc20fea90bc42376441f6deb370951be87a80
COMMIT: 85c6f7bc2e879f1f7eda3e473a55a689f8ff0c65
COMMIT: f305a98217436ba4b935d7ca1d6167de52bac35d
COMMIT: 568f3daf125560ac1257550dfc50bc56565b019f
COMMIT: 644b1d04dc520507eea3012165ee61ae92fb96b8
COMMIT: 15d042feecd6b66732b72b2d88f912c4dd1872d8
COMMIT: 6e0675e2a610bdc14315eee04080516c768468ac
COMMIT: d11faa0605e451a3a15420b28e5af59f9335ea96
COMMIT: ee671fad03701def60af908da2b76b28f4808f0a
COMMIT: de2efcb35e029beee70df157c06f3c6a8e9acfb4
COMMIT: d5d311d03676d82ea91ca33ea9f49dfb9e1ac7d0
COMMIT: b8a000e2f814cbcb86040052edaabf3a9cdac94b
COMMIT: 5a5f3b7e7598a86c1c57f3153de116111f4acc8d
COMMIT: 6f7117832b6543e2f046b7a3b6088eb2a3c88f2b
COMMIT: eb9d50f115e024530a66a22399bd8049892fd3a0
COMMIT: 1a17633084e87ad2f72c1776ff2b6b9094df2336
COMMIT: 24aa767cf3eb0c8fb21620c621b5b4104649f41e
COMMIT: 12f05f623a44f990a1b2de5ff7d5e8dbac90a67f
COMMIT: dba10275b34f2e21110a3315a0ae1e1460bef81c
COMMIT: f80a8eb3de1b1ed6eedd96a842cbd48e966a7eb1
COMMIT: ac20055cc22d4a809e89e69ee935e3b80383ff09
COMMIT: 22ff30ef22c030c97e8f1bf1c88df7aabef85d0a
COMMIT: c3d9e524d96b901e75850eb35a0e9c4793c8a2af
COMMIT: a4c18b45c08914b8c3fbee1ed8e109ddc0ca3120
COMMIT: 0e3e54e2d773063545487f16a5aa2d9a521663f1
COMMIT: 6e9339ff9c177cc37787ee252fd3cf3a04f17243
COMMIT: e3062260c0a1c4046dcbd30840c7be0b8ce0380f
COMMIT: c072d7f53ba74b69b68c0623c20f539cea43e90f
COMMIT: e568b5330b3ab022bd16eefb710764570e857a20
COMMIT: f54b3d91dd143a5e0636879db58061befec273e0
COMMIT: 7056aff12d32b34ccd9975d62420c44723dcbc12
COMMIT: d92eec067711cc9f699f9d8bc9c44986ca6221fe
COMMIT: 819d0ebcd8c3c27b2f71b0f5a4480f1cd56e0642
COMMIT: b782d6f187257e852c30a9eff76a9cbbfd6bfce8
COMMIT: db48dd1869ac89877ed5150ce2e60f787c5b41b3
COMMIT: f44e19df2f11944b71a636d18634b845061d2df9
COMMIT: 1271929d9d6ba74ed6c3fe048a6f277ec860bfa6
COMMIT: d7e6a0fa916c38e433bbabd1e7f9a63b22ceae8d
COMMIT: a866a593497efc3b476343726f9903bd27a63e5b
COMMIT: 74b1e533d6e247bd46dbc266eac52e2769601769
COMMIT: a0ed33be82628c1e98c938225c7309719b98b885
COMMIT: fdd7693d73e25685f09274a0d051d38a200837ad
COMMIT: 8cb69271c67ec88b5cb6063d96fc082f935ddda5
COMMIT: 21b67edc2918ad7fadd7d1895df7aa1c4c0101b8
COMMIT: 5192ce554ba612b302052314564bd5eb2981b913
COMMIT: af441c93dc6058e882b8dc2ab84002ad1ec89e79
COMMIT: 9c61ad0f3d9f5f6718bbc09015af385704f6bdd5
COMMIT: 78e76c3205068a586bbfe2c8bd7b1882ad9b4115
COMMIT: e3bea22a46bed000349a52542fd80b873e0c9932
COMMIT: b2740577e4d006acbe29061cf39bd00afb7b377f
COMMIT: 12299e05b4a0e472c97fe73073d5e2d5bcecd5a7
COMMIT: 8313430cdc94eebc9eb66b95c41d46a49fff0df9
COMMIT: 693f1ad066db0af499d06c51cafe8176b2a68c1b
COMMIT: 96751fba387cfb5654263e75196eee1616759d0e
COMMIT: 8cd77bf9cfec191545f5bf792bda6d6a6324ddce
COMMIT: a65ebcad0326d997c5bf6102887e3db54ccaf3fb
COMMIT: ccfe32a71447e66d19695a71472cd0a592b83360
COMMIT: c14d46db0ee31692c8e28c0d302dc14bf52c4dd6
COMMIT: d77814816f54c48b7bcc85c36bb681fd277d3e65
COMMIT: 65cb78d52a36055390cffa6068bd654273c96a1b
COMMIT: ca4b9aca28f01ad4679d55f0167fce2b525f9107
COMMIT: fe3256eb2f0527b991fcdbd7a42edbdff92be50b
COMMIT: 1870e0651ccae35db83d867bf3f4c20dbd75b6c1
COMMIT: 34279364e6155131ba72b977c6f75c8b27b1fff4
COMMIT: f1d7acafd8e5ae19b894484eee444d1412717d25
COMMIT: a3894f43b9ca32759a6f97e2ae0a26560d650f62
COMMIT: 373b197896c7d7243468b293625452dde2867a85
COMMIT: 54a7231908949376107db8fcf174823da945a0f0
COMMIT: 44aedefff7a2a1b52e7c971adc9d4a7d3c6a5c05
COMMIT: 93fda63b36cc4c2df4fab1353ca6a5c8590856f9
COMMIT: c7caf2de490148295851cefbb771c91b4b144ebf
COMMIT: b92ee5fe720f24361882fb56ba116ff9e07fa968
COMMIT: d9077f46334b70996837829025cb6c4764740d14
COMMIT: fd1e24a801face37f9db3bdbdb203439f300d55a
COMMIT: b5db09327438048f4a61a4dc035eba9891f84402
COMMIT: 4c1e5f7b64c55de8e30016df36e58563df767f7c
COMMIT: a4fb87ad02f4122f8376590c0a71756e72bf15af
COMMIT: c5cd9f0d554433fc774064ff97ec3cd68f6a8061
COMMIT: e1c702e79951a490e702b66a4bcfa24f3abae4ea
COMMIT: 2dd09acd25e2dc8a3928ddb7f5e9db77af3d2e1f
COMMIT: 9b63f7aca63da0d043a2ff8976a925310642db55
COMMIT: 5f00729c1b1d46578fed551e77c7fc466094cfe6
COMMIT: b49bd1b61e307fa2e13a3f2ba7638716faf564be
COMMIT: 04e3ec42650f52423976c5840f7b529a6c166a51
COMMIT: ed0e6b31062515ad595d7007ab9b1a2f741b1249
COMMIT: 00503c2d7b6d6b3086c19507fa48c1510296de8e
COMMIT: c3d1fa7a25b507a466e013d11a2097cbb4e7ceee
COMMIT: 717c773c06fdfd52137c71c64930e88196a29bfa
COMMIT: 6cfe499d760f41f7020e9581a8cf667e8aad2901
COMMIT: bcd60630501fa7dcc788c60414a7e50c1069c7ef
COMMIT: 90d3ab8898570eea8559b6d620d52e1f192b2ebb
COMMIT: cfc2ddc79a00370d7c028145cc3e33d9e811e1c3
COMMIT: 88a2f919dcb661d1b0a270b104ce0972b4000435
COMMIT: b9df373affd29c1611d331502ed2fb08ec8a89f6
COMMIT: 34649ec5860f1a0dcf0ca1376237095b10b51a58
COMMIT: afd64951018b621bce66c588bace820cc10702a5
COMMIT: 5b905b67c8da115e2f2769bf7f60281afab74f53
COMMIT: 2a18622a7709cde1a27a4df3be439002ca9eaaa1
COMMIT: 3c4069bcd6be6e6f417cf5acc02464f909ce3482
COMMIT: f7c832241a410f13411b9d96bb0031cb06db5cc1
COMMIT: fbc87b230416d885776f5078e95375757af34fbb
COMMIT: 6334c6bb63805269bd2a8b5117551a5ed7581157
COMMIT: 89cf1d711cb1fc0ae51dd38b75be89d471f232c4
COMMIT: 92f7b2544e0831b6a258fdbb1223d246fec1a3f3
COMMIT: c36b8de044d1005cd931803a869e6431aa89ee1a
COMMIT: ecba9dc23d2c833bacd1e8ff0244c2636fa34e40
