Utility to process github logs
Going to process projects/top_C++/TrinityCore/all_log_nomerge_function.txt 
---------- TrinityCore ------------

COMMIT: b5d5768d44d04ac8ecc066f13161b09c1cd5cf06
COMMIT: 42b2041aebd9081626e4531d655a35cd924b7e35
COMMIT: da3f6e923a0cb72976d7b56ace49023ecf58ceaa
COMMIT: 7befb26625dd1eeb237e223296d9ed8817297025
COMMIT: 408b490851628a55720dd6c5d1bf0b7fd0cb0b83
COMMIT: dad9b01b265b9353424150eb9b268a735054238e
COMMIT: a1fb24f5ed8f7b0d4abf1bcf02edec5e8afb4747
COMMIT: 124398feefc64fe77ab01f469fbde645edbeb80f
COMMIT: 4302226a853811f1346ca96a78af0e649cdb4580
COMMIT: d28b66bca88de621fd00495e4edc7e4d9d01e7eb
COMMIT: 021e18d152b68b9d2a0c5887bab7eb7b61ecd2ca
COMMIT: 4f2f9e08f80f46149dbbe8e5ca469267f39ae438
COMMIT: 519d76c194b418d7440bc3c517aaa2d2a454024e
COMMIT: 7b74a725c89cca383acab8a002c162fc7ff1e0ac
COMMIT: 0a07fd5fc38f5b3beac187de88dcd26cb60d9f76
COMMIT: 25debd75777fef2cd3e3903eba814ee882e19a68
COMMIT: 87b72f41ca0a0bce6ef8843e3df53578c2e6667d
COMMIT: b516926da83a56b1318c4d94b4d4f3bac5510cce
COMMIT: 531de49fe78436c30e504d2ea4b94469484333d8
COMMIT: 15352a9302d3204be055748e6188318df1fef0ee
COMMIT: bdc42f663ea2ba715a43c7f65f8d88a1df188e9d
COMMIT: 2874014443cff95e34a75ffa3bfe816ed7143803
COMMIT: 8df9e98ba5d7e230009f640a95289639ede8b0c1
COMMIT: c31c6f3ba3bd0be5e157e63bfc65d38f7d3e7624
COMMIT: 310f5e68467ee61b66796fdd88c7c9691d4bd2a0
COMMIT: c8fe4b8d5084dd26eb96a082422fcd68c090debc
COMMIT: 9817f5e23e98b34348e2a69e52fa8046f8ab63fb
COMMIT: b2657a809da7954f88d49bfce78d501382f1f7f7
COMMIT: 22113d1626ce475b03de3854d27969179e5ec897
COMMIT: 433f0b25caa267054df679551806a317c2f215df
COMMIT: e0aed65c8ce46053b078bce0ea237db249e5b1dc
COMMIT: 6c895ad692860349277f0feb56ac640d3cc9308c
COMMIT: 25e633aa34ef227841b4092270d862b0864dc372
COMMIT: 2a3546ca36468b81d673bdb27315006144af3165
COMMIT: f8e829da65c41cb753cec6cd9c59ae8a65434bce
COMMIT: 029bad6698df6ac9556fe308342e616f4a7a8cc7
COMMIT: d39a013b6b979a5158bf86c37a197cb902b2c2f9
COMMIT: 9588c1d92b20573c2bd214b44a15e41fd8cf35b4
COMMIT: eb36acd1522a2e5b8a7d2b4b4a67fc34fc777f03
COMMIT: fd910567ec470f73d52f805d8ac68b60e989c9a0
COMMIT: 876e9dde01265edef31eb28167dd82797800bb1f
COMMIT: c674f229cb3d9abc723df9e7f87ffb15c9655cca
COMMIT: ee4602db3d40f061b9ce69445359f47aaf78f278
COMMIT: 95f864f4adcebc759d38e4fcd31c8fe3187beb8d
COMMIT: b9ec488fd16440690c2f82b4f34256476b0a9fa4
COMMIT: e77c6fc98b705ecf3aed873d1f29b7434f2f48ca
COMMIT: 82df3f090bb80ce045520786549b6370dcdc5874
COMMIT: f3852d19e7cc08ce827692c0bf590fa32ed09e5b
COMMIT: 1bd4ff6cb94aa2a1dd44931664947bfb4b4887a5
COMMIT: 745833ccbc09660209ec2c48db3d020c07ff22c2
COMMIT: d20a5f3df080ce44d547ee98bca875e01598cd64
COMMIT: c28345e279f31af2fa32df2411325ccfabe06fc8
COMMIT: df164bf2d7925037cd5edfca3947015637873197
COMMIT: 52023b1e6b1fefaf4be95fa201fc1dd2ecca55a7
COMMIT: 78ffaf6ca6dc8887941b9e26b51b6d19aef46bc5
COMMIT: 0a641bace9198f49c82ac1e0276a33d893e990ea
COMMIT: 4ed4b165f1a1476abb82988e42f9bd52eb17aef4
COMMIT: f94fe58f78c430bbe3a3299aba0729df4b275670
COMMIT: c9a129708fd8904a680671b36e8ad67e94f417e3
COMMIT: 27f28552489bab153d5c4717ce48e31496b4c43f
COMMIT: 6ebb64892fa4cbfacd3f3de5dfa1fe36b02f848c
COMMIT: 74850abcfc9e18a665e7d6fa5942e5b7ccc813ca
COMMIT: 224b5c08dfecd3cd9981fc89bb96ae0e38b68889
COMMIT: ec4b8da3b513f68139136f16af46f768df3b8259
COMMIT: ed5e3fceed5721e88fcd22018c41df65626f6557
COMMIT: ff257363383a4411c013879804512bbef272ba4c
COMMIT: afd931550b942007d57eb1a8cf3f6b60c8b2903e
COMMIT: a5c742dafe74f26f45293e8f340862cd16f529ce
COMMIT: 1320c9f8d60d36624c1aa920533622eb84494812
COMMIT: 8c944f1456af624ab98672390be63d16cc244a7f
COMMIT: a0fedd1d781bd6a4c6f2790e012a0f3ee12ccbf0
COMMIT: cac491bef8c60be0a8b20e6d49480224e50ba0a1
COMMIT: 3f21b14bc0cb8425ee2d60e6d4864250d22b1762
COMMIT: d8d0b4730e4aece0ffe6a7b89bd74fb2940ea3fb
COMMIT: f03d49705dc7a0c00350119b319dcf9feb566529
COMMIT: 0a592dd9dbd34818deee472dd42d700b4746a27e
COMMIT: 80e0c443fff2baf812d03c18970f591e4abc15f1
COMMIT: a20ac4c25bc25ddf8de1d9c5b810d332f5287d33
COMMIT: 5f1b52acf44c755373b5c6ef22c449c43b2dd821
COMMIT: 41eb26217228c66db5e05d43f7e8175529b8b1d4
COMMIT: 05ea2f76b85e3a6326afb0329e29291d8d3a403a
COMMIT: 7b832135218d58322c7fa93defb3dbc0a68b3fbd
COMMIT: 28b61812cf0d87b84aefaa0889844b6288f93b93
COMMIT: 85176f1488e9b2a1e7070b801809997e3623d2e1
COMMIT: 7a78d60d342a0c24739aa1f0e3a7923a5291b16a
COMMIT: b9b693e60583b2fff9731bb68c5dd0aa626283df
COMMIT: 61f59acf8127536d02fde307baa45830769c2d13
COMMIT: ae80fdcb51ccd0d2266669140673cc9671826999
COMMIT: f9a08ac1c9cc1774b5f808364d9a011965641a3b
COMMIT: 11d545f01d958f19861a9b50003ed7e7f05d794d
COMMIT: 79440b3d9d0c2388f4ee04e81561702847e7e34a
COMMIT: 4fb56fbfe0f6508c30173422dcb3e6bcc3b381de
COMMIT: bfcbde1c97971211d2ecdf5c5f8033eb138658d1
COMMIT: ca3327dbed76d7d13b9e2754990b717267700be9
COMMIT: 7dd6f0f1d8dcd14c8b9306553170f0023d30fc66
COMMIT: b3aebb21eceb30f565da97239c5fdfa2da94d3e8
COMMIT: ec8cccffe9638e368def784f6f3d92b133cb7719
COMMIT: 5e80f86514f27b1aab04518d56faa814093a8d3f
COMMIT: c22d51f4683048a43fbffbe079bae1907d5b9019
COMMIT: ccf3374e494c31f52c9ae3b63480e3cc6fd2510d
COMMIT: 0df19b9087b1336dd60a98256b016def9b058b1e
COMMIT: 33dc72a812ad5fb6e17a26b14d6d7f9aaf5d34b5
COMMIT: 7240fafe94e865b800789659f9ba4e03832157da
COMMIT: 0892c71a16a1fc01822946bdb006eff5bdec9315
COMMIT: ffcdcea13a0958b7db68312749d28eadf218ce70
COMMIT: 57069b393d7698bc0f860ad1b2d0b16785f9e8e0
COMMIT: dc96fb1cee4a91e9828d085717b50fc163393bc6
COMMIT: 316d9a5ce89b1a21a22b4ef038d9c76e91e0e948
COMMIT: fccdba38420a8818a4ffd8fde51dbc2a1dfb18a5
COMMIT: 232eaae69cd774fb2ce4014c61c77d6a5c685b01
COMMIT: 0f0cea104dcceb029fc74e12f60f913e55d267fc
COMMIT: d60f959fce84e4e40570f377db691302fef747be
COMMIT: 77d70fbc0c95e4dfa3875b1a8b952edd911f0aa5
COMMIT: 16feef9e33f5c782a1d768d89672bea76d61b5e1
COMMIT: bd0dd6443fdd01ed7889bfccef640413a7c4c06b
COMMIT: 9c6b5417761171b49703496b36df073a63b6c7e1
COMMIT: e8df8ff4dfefae8adf91e8fd26e5f27b39f32b69
COMMIT: 6b430db910c2cffe49dc1049661c111f164f94f5
COMMIT: f27821486b0c38e0f92bc719c997f3e9435d7c59
COMMIT: 6332eaee9f607a38cdfef98967de01114ef3dba0
COMMIT: 4688676f3efe31060013b1989e5e475ac05953e7
COMMIT: 6098a5e43ad52e016ff6e2b263db6d92a0718995
COMMIT: e55835a6a9ae09dd4b65de494cba712c322a2419
COMMIT: 7b3141bfde021f09d9d28eda2467262026a30ba1
COMMIT: aca3795fa7be19ffaf25d919c79e4a98bef87148
COMMIT: 4e81e3c194d74e0330812c9da7dd9b1863941c6e
COMMIT: 4615aa60a55bd6e117e2907869ee91a86427dad4
COMMIT: 1c80e441a06160f8f13398955e9681112bb744ae
COMMIT: 3a8b5179fa552c31062f412d1b4e27438941c362
COMMIT: b7e0c2251e650a7a526ef9f0742024fd2db09ddb
COMMIT: 53caf7959efb6a7f410b17306a5cc23028824fa5
COMMIT: 69135ba056e68d32fea3621d123d2da88454b95e
COMMIT: 880253a833b8cc3061064d0c9d51385a42fe0ddb
COMMIT: cd3977edf9f688187a426e0e050d04d80815a7ef
COMMIT: 2596f1f35d01a8a6c8a555a5952c055a4d4dc239
COMMIT: 86b3298a47be32e990beedd27bddbcaf01c08c78
COMMIT: 2d5b54a69d2bf3efb8eb2fd798e91fc0c2e0c69f
COMMIT: 08edc7d630b46145c348ae5834b3dc0c606e82b2
COMMIT: e9c9e362657f77dd6cc1d51543de68f9de7f8689
COMMIT: 6949735098144e478451e73179ca2d9c6e7344f7
COMMIT: 58043720420a0f59e95a5e7d226fec3ee98ebfa4
COMMIT: c75b7942a8f6b5ff7879238fefa3519f6fdd13eb
COMMIT: 12b8bf037ff69d58d4be5751fc676a3e0a5e3e04
COMMIT: 4992c0290b2b43c3d4c744833ca9ba6f74af85ad
COMMIT: e55555ed8c17e62822768050446bdd448ad74e20
COMMIT: 26a7916faf3d22d6de99d2f3a0bd49a7444021ac
COMMIT: 52c0fc96bb4a8a62218bd383f360c0e1350ef62a
COMMIT: 06962b16f147275cf3ef23caf2f41ce0d25c25ef
COMMIT: 2ba05406ce0632d30498b05981a02f2b7d4f75da
COMMIT: f19c6f4091406a42fd75f2cef73a2189cf856ba8
COMMIT: 48f426abc545a209a4f3038bd4a4fc820f953d7f
COMMIT: ae46affe4e8d69219a28df7b5557a323a2b1f248
COMMIT: 5ebf24281c35ce785d712d87f85880089a559aeb
COMMIT: b5278ef16008998ce63fe7583974e96055441512
COMMIT: b96b7c291a0c58b55d13d90e6baac08686f2e631
COMMIT: d1e276845088d9d493476b742a08e12e0dd50139
COMMIT: bd4be27aeb9ac5750479f7ebefd9ee909fc02983
COMMIT: 3c8503bea70e99821bf4faac4c508c18ebc72fcd
COMMIT: ecbf6fdd6c1d092e3be24c6e3699295f775078f9
COMMIT: 3be5178304226215246415bafb6547c41d193ac5
COMMIT: 6dc76223fbf2946ab262bc1c9a9a89bd9411090b
COMMIT: 6afd62a6bdda4fb6740fa66a35459f772b9afde2
COMMIT: b651789cb05c304248f427ded09e0a0e43dad317
COMMIT: f80384a1f26dde4ee81c7373ee048dea905c78f5
COMMIT: 77c29e8feb5a69a8b435269659b320cf906d9ce1
COMMIT: 3aa5b01d4d374b19e90da22dcb1996944ce514bd
COMMIT: be518159bf58e98047f1ac74a70736f7961aa3ca
COMMIT: 28974765176d88f6a96e9e76f62d68cd03c8b558
COMMIT: eac01c3f2ae27047997576d647bbaf1accd49353
COMMIT: f14be42e0c034e315bf4c240e518b658db99e5f6
COMMIT: 78f1cbfba522882acdfd5ddea2edefd88881c3c6
COMMIT: 46c752408408c6a3435dd0294173840deeaf3b4e
COMMIT: 9c240c14ecd691e1e6506dfeca4bb2e85c6b0418
COMMIT: 1e545eaa70a0a64592ba4e20f0224e0a27a28937
COMMIT: 281527a9c33429ccc8fd552ea231857120a6017d
COMMIT: 3dce4fabae92db5195287d861b459080f6cd0371
COMMIT: e3b8cd5c7e0fcd1d73c67769abb67a7a029964c2
COMMIT: e0d08f5afb959131719796e552bb7f5fa41a7896
COMMIT: fbae790c1dd46ac24f3c46976c2dc4a09963a319
COMMIT: 3a9c73008315a0eaa114937eaa1c85b44bc1f9da
COMMIT: ca6e9112e95956949b3afd2d5f0ea9c99a0b39e5
COMMIT: 94b6c1b5443c9def94c3dbf4fa79fff059a31c1a
COMMIT: c755a51ce0a91aa58bd9a0a930cea94813442300
COMMIT: 95a94f89b23e5db2b77f3fcd1117cf62123cef1e
COMMIT: eb414532fe42d4bc725cb98b41965b392fb130ce
COMMIT: 87692078541ca5ab14a59f97380486a4a66ce8f0
COMMIT: d52eb14bb6f0fbfb9d75cc0f16793eefb74666c7
COMMIT: f81635ebe516633d7cd1d45ef905b5b60958779d
COMMIT: 551c565746c9be4340f8aa7a946082d0e23ab8db
COMMIT: 55dee85ed80d43cc0d312d588652f85d9a027297
COMMIT: daa5c0ad0de795f289e8328680f658de01e732dd
COMMIT: 5d4083820728fac259e99adcb1cad79f1f19f01b
COMMIT: 0dd10269d15b11b3beb0cb1b8537e15126699d32
COMMIT: fc7062049ff1f71abd8d9dd067985a93c3e73a83
COMMIT: 927f16de49d6cee6562e2d6bc48714572d142c03
COMMIT: fdd5e11a15a4e635bb1298c3d4c4b3c9e718e6b0
COMMIT: d2d1b97cffa5384c639f1410e131a75567122281
COMMIT: ee4a3b9d59867a2440f8eb35f96405e5c4f6fe28
COMMIT: 91052574acb49a791ebfc958c0776e19dd578a71
COMMIT: 1d39db16b9e5250033eda16da3dabbb61d61e83a
COMMIT: 5fee5b012566191bfd0c27d3fcfc64aad6d657cb
COMMIT: 4ec84fd1ec77f19aa6b81e052caab6e9b16e2e91
COMMIT: d4bbc26261d7ce1e01292470f77390ab3c2f5e98
COMMIT: 97046283b56cc6042332a20ff9405e0e7a6f81f5
COMMIT: 1b3149b07f3c3b7bd09a2ae7cd207fb3e4c1dbbf
COMMIT: 6abfdc1ceaa78a9547f5a25e0d819f3db2e2f838
COMMIT: 32a3ecb9861d4178665c516ef4c3e61f338cd9fd
COMMIT: 2cd0dce366878d995669865a36c99ad834204cd4
COMMIT: 8207aff0d6f3fe475d1f088a9c9f589792e008fa
COMMIT: eae18d8ed0db62ff74bc30bc6a260e4aa9e5fcbc
COMMIT: b4b3e6f3a22359411417cd60abcfd0133ac5ef24
COMMIT: bb01c60a526abb280401f73ebee2206ac8ee8111
COMMIT: d565c2b303c4a601c9a3425facd53cb4b8f37e52
COMMIT: 7d623eed180ea3d35d356e6defb0511480404c67
COMMIT: afb7c705c208399ad5c31e55c88fac20c865d890
COMMIT: 2282a4c359e38bfe29f5eac4538e05230c5420c5
COMMIT: d4bdfebd9ecc9958f21c345836a4f074676d0c8e
COMMIT: d05bf542a50c836c1cf1bea402acab35372f2983
COMMIT: 2a6d3fa67c42008e8ca3edec19074fa9f96dafce
COMMIT: bd45a0bba9d0e79f572466eb8070b42c5a5f5986
COMMIT: 84d0094ffa18b5257a8b08a70842fac877f8dc56
COMMIT: d12737d9bb8a9f7643c3f03344aef3c2c986522f
COMMIT: 18868f5cbdd55baa95cd5d5c56d77926ae7f1f9c
COMMIT: d99f0362cb9ee9e6710162c147260bb7e23eef10
COMMIT: 8db02c52acbdbf2c3d0280a01ca6a8b367eb5617
COMMIT: 0fa3a4923efb492a71f888e256348148fdd73d80
COMMIT: 0c1ddc970d5932e4da9759ad9cb6e3f82cf2e113
COMMIT: 82cefb661d3246ef160945acb00b0b3417915fb4
COMMIT: 68e22ad311ed19d3ad4460f2d178a46eda19ed65
COMMIT: 26370223a0b9ab7b9542a6a727347063397f0fa7
COMMIT: 8ef34535a4d8533ed0cc292bf9c53f95adaa4aea
COMMIT: 9fcd607e78aca169bb23ac940eefed7879ea8c3c
COMMIT: 282a7cad7df912db8fcab57f18840e8245b5c2af
COMMIT: 70bd70080d5a8d0fd9fcf0ee676024bd1a8296cf
COMMIT: 6a54ed88c60f68edf2dac764a6806889b506e312
COMMIT: 35aa142f6aa748db1febe901b2446fe53b9abbe0
COMMIT: bf6e58b8d44d3a4b78e9473df029caac74c68220
COMMIT: 19c56cbc0eb7a90b5df4ff325e5f9689805e575a
COMMIT: f05d5406585fe2d69796b93bff73a21e1cd41a23
COMMIT: ab62fe30bc399fcc717d0c37df220d7b57a7c043
COMMIT: b520f7da018aa0d771e6589b58081e71643bf860
COMMIT: 5a363ee0e1556b58ad1d16ce2b78ae5f92e065ea
COMMIT: 65917f52eaafcd157b68444f2ab084bb428e40b6
COMMIT: 1b47f3270ec0c02ececb6cf96da957aa96a739dc
COMMIT: 1301ad800b70440d8ad94a3371757eefe05cab23
COMMIT: 9f50dd3bd63ea432fb83e3fbca63002ff3525301
COMMIT: f312b869417d5bc0ea10928284d040e04259c1d8
COMMIT: 0e32789cd26d15f347ddcd11f5a31abf1ba007aa
COMMIT: b5b64a2cdd6ccc935610b090b42d695df083eebb
COMMIT: c06dc7d37aa8c795ff505550a7bc388d2a66ecac
COMMIT: fd753a61052480d9d25c4484846d6b1e8ddd334d
COMMIT: b4327bfc69ce7e1243f53256b8a55f8c5c0ac2f1
COMMIT: 2f0f8f8018f4786b9e3e3eab9a9ec17c02668923
COMMIT: 5e66253de230ef3f9236ba71e94296d60b05aa3f
COMMIT: 0ce6824a86bdd5020cf272d70747fedbd64d4828
COMMIT: 45fcc2ff9d7df9b86b53fbfea106b827c4ac46de
COMMIT: a4ba54fbdbb690377c873ea34f1d3541002872b5
COMMIT: 51b782a91e84be4ef80281c917e670cfab032978
COMMIT: ea1c4a355ca56b4edd431bf4c3d9dd932b8af770
COMMIT: f091713086eab1ef928bc2f79eb0dc3b0bc4ce2f
COMMIT: 007e9037536c10a5d0ee0739d73b5d2e411e75b2
COMMIT: 80daaf8d430fb9ecacc72e940c73fe292850cce7
COMMIT: 3c977350569e4ee3872cb534661d241bc8d9ac79
COMMIT: 4793f2050665b7e4473b6fca191aca8c14df3f5c
COMMIT: 4d3156e0b86c0c463cd2321f37632267492a1d7b
COMMIT: 1083dbb993f1e227472891cda109098671d7eae2
COMMIT: b83cff2a8552772bae863f1e640b6f1f35ed0d99
COMMIT: b41de6cb38636f17d95810366bbfb593fea8acc7
COMMIT: 7228bd3664d9fa6a808e338a2fb2f519a6370672
COMMIT: 0904858624297bb6098bde7d22fd080245dd8d5a
COMMIT: a83c3157714b68ed597c199be3521d0d392b0f8d
COMMIT: fa1358afce0a1417e95c64c19d2df191bc791f10
COMMIT: f9c7bb417150f87c5ac8c161e019d6c292dfec37
COMMIT: c273f5368a4fbd8f6c42d0b45afb1028ec3b0898
COMMIT: 8aee9dd9489bfb60b321368dd4465700f13b35e5
COMMIT: 5e86dea0b06566bc643018fe8cc026d0dd24ad79
COMMIT: c200d2c8cc360d2cc8eb4fc2630dbac32e53a649
COMMIT: 03f16d2e901f72ecccaeeabcb0a2149497c4fe2b
COMMIT: 8eeec647d1c953884b3b01d869e6cbc76ce4dbb8
COMMIT: b6048f89f7456ab683901f12ea4f90ac5d23be70
COMMIT: a62f95e4c26650ed1bc0c6be46e75d1df5925c14
COMMIT: 1dbc943297a51bb8979dbc9e33063e98cc0a4a51
COMMIT: 9bad26fc889cd084c066b41188215b3475d125c4
COMMIT: e7255e66da1734872c3a05651f910b74b18c765a
COMMIT: f296095191c7b5c6b10f79c2b1433dc227a462f5
COMMIT: 50336af1c74d188d1afd1911ca5886c547c83374
COMMIT: c85710e148d75450baedf6632b9ca6fd40b4148e
COMMIT: 9d760098a5a1bf5203fce8e3ba7b462a7885ee75
COMMIT: 35c2e972076b1f039ab17ddd35f2d08c125ce383
COMMIT: 593fb9b68a85bc7c807ec13472a7fb66cc463547
COMMIT: db2593f41d75fb9b832f240313522d50d95f4618
COMMIT: b17e3246fe769e6dc388612d5764150a184aef07
COMMIT: de6eddaa353b26d84e3164abd47f789944b7bce2
COMMIT: 11f6eb91c0f1343ccfea11c6dc7e8d346bb04ce1
COMMIT: b76bcad46e6086719bb1b8d09eddca76766a0860
COMMIT: dabbe38022fddce5778ea7d71915a65dbe9d4b8c
COMMIT: 392e045bda32a8901526b05ab216ba15920e8aec
COMMIT: 8e7cf15dd1a5aea0b4b77fc7853f0fdc21f7a8d9
COMMIT: 71795bf9776183429455d5742125b069836810e4
