Utility to process github logs
Going to process projects/top_C/libgdx/all_log_nomerge_function.txt 
---------- libgdx ------------

COMMIT: f0feb72a5904f6e8b82bdd62a6aa87aefb636c19
COMMIT: 4adfc8a8416de4589886fbee106e310ba3e1814f
COMMIT: 224b0a377a2df7bb56b925330f81bc42399e0b6e
COMMIT: 3dd7b537da89e842d28dab99b1df6144be87a68b
COMMIT: 2b26ab628e3f40527845ca8fd60e3f04305402b0
COMMIT: e2e5e1cdcee6fc7e0021dc315d74e13bd6381a43
COMMIT: dc4b33cc05bab2a71df54cd6d1ac8693489a9ef6
COMMIT: 2b0a488203f145e0da8a7d3025ae1d76e2f74137
COMMIT: 4a30b958637ce15a635c4c70994c7724bdae9e1c
COMMIT: ad2362f5f37c81440b9fed0874c94cf310a312a8
COMMIT: e289ce5a3000ec163911b0dde0a70823d35f03d8
COMMIT: 1cd8345879a1dcfc788b1e1e0969e3e1403ea674
COMMIT: 99acf33c351f4835ddafdba82a80ddf603ada7fa
COMMIT: 7272f1b8bcb62465d80d7375472e1e43a256bc79
COMMIT: fb29cae5b4a48ae196ae01d2cd7e6ffbe662004c
COMMIT: 8c1eb89354495c8efffe82f0e21ce339c881aa83
COMMIT: b0fe0707ad2e7a10e17c1b4f6e039a9a77e6559b
COMMIT: e378ec4e171e863644e0fd39902171c92e323d27
COMMIT: f0567286cce86fffe0a028256c8069a12be1815e
COMMIT: 2c5759ddc9dd0e4de265c3356cd4f2e7737f16bc
COMMIT: a716acb1d1e78940c01a0c2288db8942217edcbb
COMMIT: 3751de4057420fab9ed04f35820fe08d7944c3f4
COMMIT: 6b673f422071635c96583a2c0bb14239e16c7306
COMMIT: d1bbfcb5a629d50cc6720828855145270dbac829
COMMIT: 74f3931b758e920f2b1e030354f7dc5e39cc3b28
COMMIT: c83b3a7c7dc6888265c2417a80d8fe6cc495faca
COMMIT: 79426116408ce3e600b12789301b2a6507283185
COMMIT: 0a8940092c77ff745fa7a31441e8c9013fd81f70
COMMIT: e25a7575274bbf7a7d20879767bc7703c462a78f
COMMIT: c262cd6a542b4f8eaa0ca4e735c911cac338e73b
COMMIT: 1cae7e370a4307dfd53220cdde685453116e554d
COMMIT: 03acff807c36df30d9e98dc5b5846c7de8a85bdc
COMMIT: d95e6cf93f1dd34434d8fb84540c31f8f195a8a7
COMMIT: 6990a4325cc8ee000db2d65d94c6ecf61777da34
COMMIT: 6b6f87715b288e8a1cd526a076ad09d46227740c
COMMIT: 97451ee029bb635e610136623f7782c33bdb4f3d
COMMIT: 49c872e96526bc3d303d2b3886e009cc532933be
COMMIT: b207fbe34b955194038c6f1d706f654bab4c96da
COMMIT: fd493ed2c2d573926cce27f46dee3d1570a2ac08
COMMIT: 1b85a836781f913b43b74c35f166bd3d832b9034
COMMIT: bc2bd7ae201197b5b773df0e59d3b1ff85ee7f39
COMMIT: d1e93326880434962009cb94e1a50cb8c9295020
COMMIT: 8d75c6c710c0a834ea1611e6a029cbf12531205e
COMMIT: 06628a69fd47ffe847d2575cb7b37c5c9f9cc2b3
COMMIT: 474f903a05a7df818afdf62389bf83dea7e9ac7a
COMMIT: 84c40491083738b8656a5729ea8dcaffa228af75
COMMIT: 7a0fb79365d7a425b9f0c71a1077c9b776e73133
COMMIT: cebae0fe7e8f54c229652afd323368d2f52fe858
COMMIT: 7f92e47ee14322e69d57f97f733acd80764de9ed
COMMIT: 50e465277177aaead9cda1b193f5b81eff9b5a46
COMMIT: d2af59ed89d60a5f1f46ee5c39991e134ff09585
COMMIT: 81dee64616e6de17521aa5a5ab76e3b2c692fe0f
COMMIT: 45ecda1cee31f77f670003b1df529d206ae21d62
COMMIT: c911f4039ecd22a664278eea9e947a160474f087
COMMIT: 245c184ff895e294c02f8358cdf1f6fb8128317c
COMMIT: af5f3ab3182b3af14ef7bd095dd2f4ea9c7c0011
COMMIT: 1dcde09db53c1528d46dc3d5f0da43945aa4b6a5
COMMIT: 5c4859567826eafeea62de32da1c910baa1115b8
COMMIT: a52110c80d18f2ea981078fdbea6850092f79a63
COMMIT: 90a747f8abdcd44104774507ddca943393f14c22
COMMIT: cd23fc6a144a7ba06c03abc4e1a0ca3cd8658cb6
