Utility to process github logs
Going to process projects/top_C/openFrameworks/all_log_nomerge_function.txt 
---------- openFrameworks ------------

COMMIT: 52c5160c05dc43815ad8f4c967ed95aa5f9bb5c7
COMMIT: 2df142200332ee4fa2faad97732a5775df278c29
COMMIT: 4c68fb392323ddf536cbc774c440c91699bcaa0f
COMMIT: f4455dbba3da1ace1b3ed4648a7077444617768e
COMMIT: 28e7957f54161200284a226ce34d0b485c78b4c5
COMMIT: 9f31342be4d48ab75c639ee17798b90dd3ade995
COMMIT: 8e57faecd5d6bcaf91aae57508033a169fec8694
COMMIT: c3336118658e4c4584f5a66938e48b025a18b583
COMMIT: 92aaa3571aa00510f335dd49ce444f58e35f9d23
COMMIT: c09b437c4b9d8cb6e3a5e89383b5733dbf19fbb6
COMMIT: e2436500041af2fa7e7bb647d63cbafee32868a4
COMMIT: ddf2c9aa51ca571064a0e6aacd96ceb7adb70fb8
COMMIT: 7a0a19edae9535dc3cc9c5a33e5881d7c083c863
COMMIT: 1de46def1e9b7aefcbe988203d677a873ecef1a7
COMMIT: 0c6db8934f3eff84dca3af5939891d9883910b8d
COMMIT: f7c02681a1074ad996baa9f0353b4fd8f92822dc
COMMIT: 92115f9f67abec025875895975e0ec4fb6c6b13c
COMMIT: 81f7e248446e21905d15bffb94b061d534a7a176
COMMIT: 00a024f7c3969ab51cdac315aefc2d9f7edd7d60
COMMIT: ccdc112e5bae36d7938fbbd034069e7ce25be4c8
COMMIT: 16a486942291be8585636263f248926783d20b88
COMMIT: c8479067705542fed672427606e4b34b6c6de0bb
COMMIT: 39109c378a7916db2c465ff863a7ee4b855f0ab0
COMMIT: bbb67fa32bfd8d87f8d5b4456acc687ce2038c3d
COMMIT: 4e25bc677ae05b303497929cb1aa66adc7010a5b
COMMIT: db071e3d3568be250f2be76a2e9209389521e9a5
COMMIT: 3b3dc8cc925a82944b2ae731dc03936504157621
COMMIT: 764702351b74ada0a7dabefbe444cd3ac9110e0b
COMMIT: 7530f55fe52021705c9d4d66301adf2f6afe904a
COMMIT: 7d11c700e399ca8f82279359fdcf963f6822add4
COMMIT: b06aa58786a2c96dd83ad7182a27ec7721717fbf
COMMIT: 7a50b85d71bcd420d20beed862cb597d98dc3a4a
COMMIT: 022c196aa44c56717642fe712a14980cd578a910
COMMIT: f260f2f98f448c9bd5986be8792abbdb9195856d
COMMIT: 885e6c985fbe875e7ede55ba3d690af1f57498e6
COMMIT: 6eaddcfb37660558cbeb26bbb3f873cd4715f8e9
COMMIT: 2a630eba7d90eca5bc96efc2829cdf4f18762f5e
COMMIT: f869140aa1cc739f03ccbff0f38e8208d6d6dfae
COMMIT: a86b389edc6d703ed1b626c8a770a26de06520d9
COMMIT: bec9075a67802da41788076994e5abf0b799cb84
COMMIT: 5394bfb785d7f536ff3c44890efa3d2088cee995
COMMIT: 0c3ce70ee6840dca70478bca576a0057cf8d9063
COMMIT: 177767652b0b3bcc23bf44f211002da56ab78b20
COMMIT: 7a70bf6d1c5de9581625315c80845f948d489048
COMMIT: 5453b1d3f344bb84bb5c9937625548e5d0bafd7a
COMMIT: 58cf5528e0c9c2ff86b97f6118d5dfec4921effe
COMMIT: 2f2d3b4b057e8f09b83d506cae798a9e0249523f
COMMIT: 267dc0475ce0e4379d1a677d10ca46fb8b99bf23
COMMIT: cacbabdc9e270800cad48418a3772d459c6de851
COMMIT: 50f56441462d741490859a6b87de4aa824dc66f0
COMMIT: 371f608ee4b8e2cd82c61848a2f7b1388d5f1e45
COMMIT: fd65921d5ea62a7f6cfa23d04fefa7f8c40f543e
COMMIT: 8e014ccfd2b4b3ce0452bcbebb304cefb2ddce14
COMMIT: c4aaf2246f764669b6c4d47f8eba5d0adb787a84
COMMIT: e073733273bb0e5847e644c6091489e81374302c
COMMIT: 31e07ddd7661f1d9d0cb18d9505a76c6be550dc7
COMMIT: 2a20f842d61ade15823631043cbfe4492d7d7849
COMMIT: d4f19b2143ba2108bef17b6e406fb862751e967b
COMMIT: 5ad57925398f505f41d20c191be7b522fa02ba96
COMMIT: aec4e2a5f62ae8ab81fdd28c4aee61d663da60e2
COMMIT: 603ce5865f132d8279fd150788a0d7a504c00d00
COMMIT: 88b2d6f6127f04dcb738e0e4be77935c5154df42
COMMIT: 8e80c517431fcb533dd5fb35d6504301f4fa655c
COMMIT: d35d64c298a771cb4b471f84287b5fa60ad1dabf
COMMIT: eaecb21796382113a388c70e2551a35f4da30b68
COMMIT: a03f5a4363a6ddc077708841fdd1e37e4f281401
COMMIT: 4a7adf0775bd148795fb87a8e5ee06620c67f8d9
COMMIT: 77d363817fd79608fadc435d4bf78a1ad59076a7
COMMIT: aeebdcb1e1875641a7a28c0c58df27a7acb7e5c1
COMMIT: 261ae4d4be0cc086189f24683b382472e1387f84
COMMIT: 1667c61119059fb9e0291145b0d0477e209fbf42
COMMIT: f0739dac017fcd63a35ec2ac2fcc8216fa5ab8ab
COMMIT: 68cd748b54c471479b3030a89ff06bb815b06746
COMMIT: 8b7d67d435cf26ac76d2597780a159b4cab44778
COMMIT: ad8219a63cea275a2d702845d0a33d536642696c
COMMIT: 40202cf90e814887ed39f8c4b797a48d655f9407
COMMIT: 472db42085f0fa4ffc20e4428e2caae2d6293731
COMMIT: f711c33ca370769398c8b82f8ba23d53ac7f8bcb
COMMIT: ca7b8a159367b3022fec39d5a321ca34576c3a01
COMMIT: 7083641db328214350e05d7daac85bacd371d6a1
COMMIT: 9d86b862d9f9c648ba51d566d729f9f59f3072b0
COMMIT: 66a1d02c4335226274d70b4ff2df05158fbd2e63
COMMIT: 6bc24552722db44a3c3b07968cbdad23c3924356
COMMIT: b42927e45d0de2c20664d1b8f744e4b4b6d6c8b2
COMMIT: 6d2013105f08dacc42bce4af0644ec11a33fc1bc
COMMIT: 36b56f2ee9bc13d40b9ac9957113e6d57e257ada
COMMIT: 79c419f6599ed5d76de50ec958f784eacd198908
COMMIT: 897eb53c951cf0817af7fe7ce27dee61e9ae798c
COMMIT: 08f2f62ab1d97a6f188649831e855b478a619179
COMMIT: f3326182cb2b590464cfecab5238857bde33241c
COMMIT: cc9afe3f74d8050b15bbed9420569fb0e7a9edb8
COMMIT: 4054a88954dfb22462de2276c04252beeff10684
COMMIT: 303fafa88c2e687bddeb3444f2a3b01feaac5bce
COMMIT: 96900aa79ce735d558a515c3f1ba57ebbd1e9041
COMMIT: 286994ad929580aadbeef6327b786ccd8449ad86
COMMIT: de7e2d4923fb1137f0b20f7abe029b8142adfb7a
COMMIT: 725cc8a2925812b37808ef443f48cb5f969911f2
COMMIT: ec6fc3a70ca519bf28b03af115e0953be02043c7
COMMIT: 5d9913d79ba5b8753d2d4dfdf5fd1195b6031614
COMMIT: e50b1c70ae285468d828c0243a348c754ab3f2dd
COMMIT: d08358e449665a0211c60e3aa7ec5cb57b735e17
COMMIT: c994366afd7f04547510212fd42bfda30edbc080
COMMIT: 8e66a80b2b6a7ddf5a91a94fc56a78e3973a9132
COMMIT: 8461cb922eead58ae20256792371e2e27ddc98ac
COMMIT: a59fd8d0f7f737642b80909b2e24a45c88bf4400
COMMIT: e0bad9da5cbddd9686b64f3bb5be771bceb550cf
COMMIT: 8fd958e4aaa7692d3e2de53ffd2d22ffc0309448
COMMIT: 4cc54f4d924f56d265e1d0850312854eeb6726c5
COMMIT: 9ee2324c01bdc2fb7ba564da05bfce14bebad142
COMMIT: c4e9bdcf7a32eb56761a5b055b6fe801893e2608
COMMIT: 643b013a0dcd5d8e3cba44b4b9fcd20474dac90b
COMMIT: 092202feca1a1cbee68bef16e88f2622aff2748f
COMMIT: 5187472c2084dc373599778a1f47bb65205e0e70
COMMIT: 5f429821eed5b7cc6ba92b862ed21e4f79284997
COMMIT: f41239e0c69ffd6ac863edf576559e25c62b511c
