Utility to process github logs
Going to process projects/top_C++/pdf2htmlEX/all_log_nomerge_function.txt 
---------- pdf2htmlEX ------------

COMMIT: 2c5ccccf59394b235bd20d3a121b13bb3a394eef
COMMIT: aea00515fe91865ea06ac4ad11c8f231dcc332af
COMMIT: 11b488e2368ea45c2f9d8df7257fa2c2a09ec07f
COMMIT: 42fea5b1ad50745ed167c1eaffc75965bd1d0b68
COMMIT: 5f388ad147ffe75dc089118583e21b7377196d9b
COMMIT: 4ffb2abb198978555fd0e5c680117cab12e758e3
COMMIT: a47d42ad4b5fe71785ca846e48645530790664d4
COMMIT: 45f9cd116bfdb07470f5eba4d7a5d03909518cfc
COMMIT: c1f3fa61787221938a565c25c0616fa859a11c7a
COMMIT: 57c02b19727acb067e3ead7702579425ef91517f
COMMIT: 589047144aa05b9839c614d9ebc53228538e6a3e
COMMIT: d4d86ca3fe8ef377d2a675c0ac51a3767d6a3c4c
COMMIT: 8c65a2826bb44e989183abcaeec3e783b7268162
COMMIT: 35ede66f50860d292c5340eac1bf1725250d9c11
COMMIT: 4a8d0bcd31cbe310185a71ebc7b534acdf8fd711
COMMIT: c57085f60017f01668de29600a7eba95f0bf1a54
COMMIT: af60845550040f7641332f11a311ec21f7b78f8a
COMMIT: aa30d82d7a67122a58c4aa2da17718aae73473b7
COMMIT: d39f83f15d510fc88517641be136a4407bb67295
COMMIT: 8ba0ce3e2504e42e9ef04e501f2fca7e1c761de4
COMMIT: ed99bcd54c26a794cbfc8450caed261f0568b35c
COMMIT: 25b70bb1e1d13950b589a398160c8f080bc97f83
COMMIT: 40445282304be7383ab12101b90c015ce7837082
COMMIT: fd00c5f6982cab4f691cec261034f9875ee0ba13
COMMIT: ce8d2bf51f01f4ca8eb4f5eb00efa09e6abfb9ef
COMMIT: c0b745f6c53cdde560c02afbdb85fb1367f59579
COMMIT: 7e636ffb8f18cee69bb1e712546b4931990c98ff
COMMIT: 0ba379cbdb520d223a03e0788fc638ebc9bb14a6
COMMIT: 5ef50304352203ac2189bc3c346f0df7214c4604
COMMIT: cddfaf6ae299733637ddb3cd44cc6694be0126a8
COMMIT: 2e53655b27310a8938152bd3d731795d016ce803
COMMIT: 0be34cb104a8f4f1faa20fe001c47903ac13b8b3
COMMIT: 17ba60c0a4790077f64f2a2af5707927741578bb
COMMIT: 8fd29cd94c4db7bbb9aee3ea3b8d87dab2aac33e
COMMIT: 9cb4d8b6372f0aa856e87be4ce585d12b97dedee
COMMIT: 25506791a6362868151b4f90e2f1ce3ff1be7a49
COMMIT: e2016d9fcaed33e44ca7d12184f17a1829212b28
COMMIT: 09203f61a483762c16f649e797e2439337e8939b
COMMIT: 197317a9a741c0da71123376443a97dcd4648d15
COMMIT: 84b096655143a13e60e12925d8a04bc972271384
COMMIT: 8cac1e6aaf3b556ba04e11a2e218c2b18177f60d
COMMIT: 09856c091032fe4769ad19ada8d180e6332131da
COMMIT: 8812bb52fb2ee05a039b37547e44720ce63a4097
COMMIT: 4dad850ff71548cc042a0a230940e57f0dae71bb
