Utility to process github logs
Going to process projects/top_C/numpy/all_log_nomerge_function.txt 
---------- numpy ------------

COMMIT: 6ce98831797729d7fb8aa525ddda017aceffa5e3
COMMIT: 359118160365672554d576b3d6b341e907135133
COMMIT: 7d106d590697fcbb7199b00e1f40ec835fe809f6
COMMIT: 3351dbf311d35220c2782367c543e4825fadce31
COMMIT: 9a24de1cac6923055b3010bbc8f63ae8595b534c
COMMIT: 3202612006ce651913d2fd448e3eb6393ba8414b
COMMIT: 5af88f9242592e3411d3a24200b002e5bdde029f
COMMIT: fff6deee7b44bedd4deb03dd7b5762abe469dba7
COMMIT: 6656d042a5669b4649a63efc0bf59e258d0ee32c
COMMIT: 6693460d94b5766315fc050d287ce4563bf9c368
COMMIT: 7b607316a8044f5dbb3be054826ab9bd295b66d1
COMMIT: 5f321b415010ec74a978bb4bb495c46dd5af0b09
COMMIT: 347c6142d5baa5ba3ea55299ab96fe114ab94c6c
COMMIT: 64d4fa5d963708ed592bc911feb2e874bcf0672f
COMMIT: eb27fc3e0faba3e6a809bf120aa2c04987c9c78d
COMMIT: c5f0d72a9059d44511be158031d0c8e77f1f9b6b
COMMIT: 2129f5c5c0f52d4e428f406e1cbd7ce62bca4af8
COMMIT: e2e6bd8e69d0a88084d4370d4991451968b0af52
COMMIT: 1cad7f83b1fd0c1f7afab86b0afdf4536b6f3e75
COMMIT: f7c0e78ac6a6ca8a3c72cf7167607a62f57637f9
COMMIT: b40e686f10421099400a533b343d6d1212f786e9
COMMIT: 76fc3e7df95779b2a67cf40210585cc1bb776591
COMMIT: 0332a2d8db6bd55b1d7e96c33ba4dd4f858d273d
COMMIT: 892c46910c7f9f0211f01b42f9aa81d0db892c8e
COMMIT: a4e68f411e4ec390b9250d9a8c24a8849a95ba9a
COMMIT: 0ddb8e35ea464da08ca3327482d96c2ec4640583
COMMIT: 528bac1380c782772b9de207bb8466b03117b96d
COMMIT: d90c6e018318720fac72f363cd9f49c2af77b159
COMMIT: 3a827637c9eca604315491e8e017b72f2d1f8837
COMMIT: 8b17fae1428502ade57c2aa5706add6228711713
COMMIT: d6278bdc47d12acc5d3edfad3ad0654055f77737
COMMIT: 261de3f0c9a525ba8893ecc8ad4328e474798bdd
COMMIT: d3470b7351358e7d34141a818a6f71e81e0172ef
COMMIT: b356ef022e2b6bb3ae6290281e25454475a2a16a
COMMIT: bfc4bf4421a84eec6e17ddf09a3d2beacf4ea4b7
COMMIT: c73fce0e7f45ae349e3eb428cbb26f3e284e6405
COMMIT: 297aed3b49919f7a778cbfa083a1b788693aa67a
