Utility to process github logs
Going to process projects/top_C/cocos2d-x/all_log_nomerge_function.txt 
---------- cocos2d-x ------------

COMMIT: 8abf95dde2b4c74c9a1b1aa3a517a7bb95f5a816
COMMIT: d82c5d3175aad34f5dac4e144d2ef9fdb1e01ba6
COMMIT: 598651b50d5390fd03f40543b25578096c51ed09
COMMIT: e81c46fb445941b6bb673c2190040b12b3a103a6
COMMIT: 85ebb84636b7ddafbafb633c3ea9a4885d17bb1c
COMMIT: 6376a61cf9e9170d13c814d3d45c4778923ccc02
COMMIT: 0bd049930981416bbd07ddbc6bcd3d1a5e679003
COMMIT: 886ad5274ee74f92540b507b51c59c491e95b59d
COMMIT: 8202fc9234eaa4efe36843787c19485cdd0b68c2
COMMIT: 726a6d199f338d1c3924c7e7246ebd2c7d8d4337
COMMIT: 3eddbabc7b486fc9ce2bad6ea53c5b997a669dbb
COMMIT: e6e03b4c914278cb89d0883cde5e24aa54539781
COMMIT: f011afb321beecb0814430aa3d0f7f3e3b3455a0
COMMIT: 5819a76c3c75d352b19fb416993b679a6e33fb4c
COMMIT: caf94a647f187098f49b9bc92ed9f89020754877
COMMIT: 4c1400ffc3bc4d8edef056b854cdb14b2d842242
COMMIT: 267216ee124c7500c2d3ae2b09e23111e2e8786e
COMMIT: 1dc60c06d124e378f6d6dd8680694d8e7cf6bcc3
COMMIT: bf755b751a033592c12f37de6023abfb56fd154a
COMMIT: bb9787b189ff15622a104ff04e5e00f7e6591433
COMMIT: 62dd84683e4df2cad9057c4e67dab2a1a1f774ab
COMMIT: dee85ddec059fba6605c9fc73a09a2363ff471c1
COMMIT: ddded1e2b434f5c31bbaefa3536ecced55aeacb0
COMMIT: 0f708d1eab6b691a9d3964bd442009c7daeef791
COMMIT: 867080097b3bc8742b8e3cd979cb65baf91eeac8
COMMIT: 7f47c93ff5100c58946e83cf470d8dba2fd0e294
COMMIT: a8eb98266c2cd5cb58939986405bee1dc2131569
COMMIT: 2611b9ebcb31c7eb27aeeec62b084c0866fb900b
COMMIT: dd5efb17b17171211bf0a5400c4a39e4c5ae5823
COMMIT: ca5840352cd65d7617a72b292ba45bda4711d868
COMMIT: 60d944b313e7074181aeba36e5fdaf90a4e1ae3f
COMMIT: f883e35b40aeca8aec243c8dadd01238525d40eb
COMMIT: 915e0ece8995daa2687aa416a8838d90c8eda7ac
COMMIT: c725798c15c671af25a97e1bd45bb2e4ad7af796
COMMIT: 733a814cef2e4aca11426db12e213641a78273a3
COMMIT: 23c2b43f3b4c6ff9195e33f1718427b339effa11
COMMIT: 29126ea65df487f6490fe66671f090be863b952c
COMMIT: 49f6e0eb20abec8b2e500374cacb013cfcba0ff3
COMMIT: 881d8aaa0d9909c3c090daa58f3d079ad545d029
COMMIT: d6e85f87753efbfaf96dc4d14f7997ab198f11a9
COMMIT: 151dfbf8d0c71e6b5be7d9390fe543fa8cbe5e49
COMMIT: 607614f7ab3bd35d1eda139c6d14b9626cb7c421
COMMIT: cf191e2c0e078f89a5c164fab114acfe3bcfcf1e
COMMIT: 7543b0207d4790b48286ff62e58f170432036ff0
COMMIT: 37eaa000a94a2b1597a08fe4340a58810ae8d63c
COMMIT: 1cfad25d3ee01443af791d18130febf95246aed8
COMMIT: ed456420b448dfa2efbed3c970de31f8b9819123
COMMIT: 2a5f9f7058398ed6e0749a0332c8ac75db8db1b4
COMMIT: f53b44dfce4ff13b0097cdd934e4122877611137
COMMIT: 3f61d410e6ee619eabaab91ce9253985b9792058
COMMIT: 9a4858e12bde30a7963bb6238c8c2691bf63e907
COMMIT: d739db612c74bece9ae3b7fa8d11d397d457b4d6
COMMIT: 17c58618263b0ff3931a9588ed9a34dbc0ccb1ff
COMMIT: 124f9da0f6167d3fcef090c87601850a358f4a90
COMMIT: e5439d6475e93228cedf6de56c55f01004ce2352
COMMIT: 0d8d6dba5fa6fdb12861344417f59cc96fa9336d
COMMIT: 36e08c70190b607504da37768af9bc5c077f0f51
COMMIT: 50921298856edbe59a5611490f1fc92790e65d91
COMMIT: 253659d07c4c737702d65d89d85ce39d112e596e
COMMIT: 4125ae857621b249f11c00ffd3eb2c6374071b27
COMMIT: cc47212599d157a9eef574b32b6546e2cfca7c5b
COMMIT: 245b562715aa85ba7e4b8a4436962454a5a89d37
COMMIT: e7b31bbed3a625e300966b1a68db379a4f50f46c
COMMIT: bd8ee71fd1a4dfe264f2017f88e80c0488ec46f5
COMMIT: 8519b41858d6b81a936afa563ea5b2c1e1a70682
COMMIT: ab72221cb3b78f154f9242b054bc59d8b8e22f19
COMMIT: 71ea5cd6ccecc0031a57bd04a715c45a743168cf
COMMIT: 72a55a1359e0795f5fab340047a5c6276b959903
COMMIT: 0950573a58123614269ed2d805c30c0acbc066bc
COMMIT: 211702e3eda8c36754be3a4c310321f043f5e602
COMMIT: 7c174d1fd89145838ba8043c3ab49aa58f877abe
COMMIT: b6ab3f4c5559b91df3a398151e38e8acfad92eaf
COMMIT: 721490ac28e14c664912a5bb93874e8661e5d06c
COMMIT: 25acfeb35b340ce8a3e3aee92049d3cdaa2a59be
COMMIT: 11ffc7db8c6ba93de146425d01a0e6a6269f623b
COMMIT: 4ed0fc4a4345797c5811dbebb22420b5102bfda6
